Sr. No.,State_Name_With_LGD_Code,District_Name_With_LGD_Code,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,Pre-monsoon_2015 (meters below ground level),Post-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Post-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Post-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Post-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Post-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Post-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Post-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Post-monsoon_2022 (meters below ground level)
3728,Maharashtra_27,Solapur_496,Malshiras_4582,Jalbhavi_191375,Jalbhavi,Jalbhavi,Dug well,SGWD,W174515074505001,17.753563,74.847355,8.7,Basalt,7.7,4.3,7.9,0.6,8.6,1.1,8.2,6.1,8.5,6.15,8.0,1.9,6.1,2.1,6.0,2.0
3730,Maharashtra_27,Solapur_496,Malshiras_4582,Karunde_191382,Karunde,Karunde,Dug well,SGWD,W175430074454001,17.899534,74.658863,10.85,Basalt,10.8,8.6,10.8,4.3,10.5,3.0,10.8,10.0,10.8,4.85,9.2,3.5,9.1,3.6,9.0,3.65
3731,Maharashtra_27,Solapur_496,Malshiras_4582,Khudus_191385,Khudus,Khudus,Dug well,SGWD,W174930074503001,17.82302,74.974789,5.2,Basalt,4.6,4.2,4.9,2.9,3.9,2.3,4.6,3.65,5.0,2.7,5.0,2.1,4.4,2.0,4.7,2.15
3732,Maharashtra_27,Solapur_496,Malshiras_4582,Kothale_191389,Kothale,Kothale,Dug well,SGWD,W175215074382001,17.872497,74.638616,10.6,Basalt,10.1,7.1,10.1,7.5,10.4,5.2,10.55,8.2,10.55,5.9,10.55,5.5,9.6,6.3,9.5,6.3
3733,Maharashtra_27,Solapur_496,Malshiras_4582,Lawang_191392,Lawang,Lawang,Dug well,SGWD,W175300075073501,17.88646,75.126303,12.8,Basalt,10.8,7.25,11.0,4.9,10.2,3.8,9.0,7.9,11.9,5.8,11.3,4.8,10.2,4.8,10.1,4.95
3739,Maharashtra_27,Solapur_496,Mohol_4584,,Arjunsond,Arjunsond,Dug well,SGWD,W174505075432501,17.750251,75.723713,13.0,Basalt,6.0,5.5,8.7,6.5,7.0,2.3,5.8,5.2,7.8,6.8,6.3,4.2,6.8,1.8,6.5,2.9
3740,Maharashtra_27,Solapur_496,Mohol_4584,,Bhoire,Bhoire,Dug well,SGWD,W175220075403001,17.871116,75.675569,14.9,Basalt,12.8,1.7,13.3,0.8,4.9,1.4,7.3,2.5,12.9,1.2,9.3,1.0,6.8,0.8,6.7,1.2
3741,Maharashtra_27,Solapur_496,Mohol_4584,,Ichgaon,Ichgaon,Dug well,SGWD,W173605075361501,17.603227,75.60345,8.2,Basalt,6.8,6.8,6.8,1.2,6.9,2.5,6.1,5.4,8.0,3.0,8.0,2.9,5.6,2.5,5.5,2.4
3742,Maharashtra_27,Solapur_496,Mohol_4584,,Kamthi Kh,Kamthi Kh,Dug well,SGWD,W173825075423601,17.644618,75.728956,12.1,Basalt,9.2,8.2,12.05,5.1,12.0,2.9,12.05,8.9,12.05,6.9,10.3,4.5,8.9,4.4,8.8,4.5
3743,Maharashtra_27,Solapur_496,Mohol_4584,,Kurul,Kurul,Dug well,SGWD,W174035075394001,17.674898,75.657692,21.9,Basalt,10.0,6.2,15.9,5.4,6.1,0.2,7.2,4.2,8.4,3.1,7.2,4.2,8.9,2.8,6.9,2.95
3744,Maharashtra_27,Solapur_496,Mohol_4584,,Narkhed,Narkhed,Dug well,SGWD,W175415075404001,17.90004,75.674905,10.85,Basalt,9.0,7.0,9.8,0.5,7.5,2.8,7.1,6.0,9.4,6.5,8.2,4.2,6.4,2.9,6.3,2.8
3745,Maharashtra_27,Solapur_496,Mohol_4584,,Patkul,Patkul,Dug well,SGWD,W174455075314501,17.74739,75.530127,11.35,Basalt,8.4,8.2,11.2,2.6,7.8,2.3,8.9,7.7,8.3,6.9,7.6,3.7,6.9,2.0,6.8,2.0
3746,Maharashtra_27,Solapur_496,Mohol_4584,,Pokharapur,Pokharapur,Dug well,SGWD,W174800075354501,17.797875,75.595246,14.1,Basalt,10.8,10.7,11.2,3.7,11.2,3.5,8.0,6.7,9.6,8.8,9.3,5.1,9.2,4.8,9.1,5.1
3747,Maharashtra_27,Solapur_496,Mohol_4584,,Wagholi,Wagholi,Dug well,SGWD,W173725075395001,17.623855,75.658393,9.8,Basalt,6.9,5.2,8.4,2.1,6.2,2.1,7.2,4.1,7.5,4.6,5.9,3.5,7.2,3.1,7.1,3.2
3748,Maharashtra_27,Solapur_496,Mohol_4584,,Warkute,Warkute,Dug well,SGWD,W174120075354501,17.6929,75.568849,10.9,Basalt,10.8,8.5,10.5,7.5,9.2,3.5,7.1,4.1,10.5,7.8,10.1,5.5,7.8,5.2,7.7,5.1
3749,Maharashtra_27,Solapur_496,Mohol_4584,,Yawali,Yawali,Dug well,SGWD,W175025075354501,17.84142,75.595536,14.1,Basalt,11.8,10.9,13.5,8.3,13.6,8.9,14.0,12.85,14.05,12.45,13.2,8.5,13.2,10.25,13.2,10.3
3752,Maharashtra_27,Solapur_496,Mohol_4584,Hivare_191553,Hivare,Hivare,Dug well,SGWD,W175035075321501,17.840575,75.536367,19.1,Basalt,7.3,7.0,12.2,4.6,15.7,1.2,15.3,6.85,12.5,7.0,9.7,4.6,8.9,3.0,8.8,3.0
3760,Maharashtra_27,Solapur_496,Pandharpur_4585,,Anawali,Anawali,Dug well,SGWD,W173730075223201,17.629939,75.379989,9.65,Basalt,8.0,5.2,8.4,3.5,9.0,2.7,6.9,6.75,7.5,4.1,7.1,3.5,6.1,3.4,6.1,3.55
3762,Maharashtra_27,Solapur_496,Pandharpur_4585,,Bhalawani,Bhalawani,Dug well,SGWD,W174145075080001,17.696086,75.130118,12.5,Basalt,10.0,4.9,9.1,5.1,8.2,4.0,8.9,8.35,8.9,7.2,6.9,3.8,7.9,3.6,7.8,4.1
3763,Maharashtra_27,Solapur_496,Pandharpur_4585,,Bhandi Shegaon,Bhandi Shegaon,Dug well,SGWD,W174245075125001,17.712642,75.214589,13.2,Basalt,8.6,6.9,11.4,4.0,10.0,3.2,7.1,4.2,11.9,6.3,10.3,3.2,7.9,3.1,7.8,3.1
3764,Maharashtra_27,Solapur_496,Pandharpur_4585,,Bhose,Bhose,Dug well,SGWD,W174825075170001,17.807345,75.284614,10.2,Basalt,7.75,6.9,9.95,4.6,7.1,2.1,7.4,4.3,7.7,6.9,8.1,2.5,7.5,2.1,7.4,2.1
3765,Maharashtra_27,Solapur_496,Pandharpur_4585,,Eklaspur,Eklaspur,Dug well,SGWD,W173615075232001,17.600872,75.392651,10.6,Basalt,8.1,6.9,9.4,2.4,7.0,3.9,4.9,3.3,10.1,5.2,9.3,2.5,6.9,2.4,6.8,2.55
3766,Maharashtra_27,Solapur_496,Pandharpur_4585,,Gardi,Gardi,Dug well,SGWD,W173825075085501,17.639198,75.144803,13.2,Basalt,8.7,8.4,8.7,4.7,10.0,5.3,8.4,8.2,10.2,5.7,7.1,4.8,7.4,4.6,7.3,4.75
3767,Maharashtra_27,Solapur_496,Pandharpur_4585,,Gurasale,Gurasale,Dug well,SGWD,W174415075190001,17.7375,75.316667,17.0,Basalt,1.9,1.8,2.1,2.0,2.8,2.4,1.9,1.2,4.9,1.3,3.8,1.6,2.6,1.4,2.5,1.6
3768,Maharashtra_27,Solapur_496,Pandharpur_4585,,Jaloli,Jaloli,Dug well,SGWD,W175320075140701,17.88555,75.234388,8.35,Basalt,6.6,5.3,7.4,3.4,5.1,1.8,5.0,3.7,6.3,4.9,6.8,2.1,6.5,1.8,5.9,1.9
3769,Maharashtra_27,Solapur_496,Pandharpur_4585,,Karkamb,Karkamb,Dug well,SGWD,W175150075174501,17.867071,75.29241,14.0,Basalt,4.4,3.35,10.5,3.4,4.6,0.7,4.3,4.0,5.2,3.5,4.9,2.9,5.5,2.1,4.85,2.2
3770,Maharashtra_27,Solapur_496,Pandharpur_4585,,Kharsoli,Kharsoli,Dug well,SGWD,W174035075275001,17.674597,75.464443,25.1,Basalt,7.4,7.4,7.8,3.7,10.5,5.2,6.8,5.85,8.5,6.1,7.2,4.1,8.7,4.35,8.3,4.5
3771,Maharashtra_27,Solapur_496,Pandharpur_4585,,Sangavi,Sangavi,Dug well,SGWD,W175300075130001,17.883333,75.216667,10.6,Basalt,9.2,8.0,9.2,4.7,9.7,3.7,7.85,6.2,10.55,7.7,8.9,3.7,7.9,3.6,7.8,3.75
3772,Maharashtra_27,Solapur_496,Pandharpur_4585,,Shirgaon,Shirgaon,Dug well,SGWD,W173515075252001,17.598319,75.421064,6.85,Basalt,4.6,3.3,6.8,2.6,6.4,1.7,4.4,2.3,6.8,2.3,6.8,2.1,5.4,1.8,5.3,2.0
3777,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,,Gulab Bari,Gulab Bari,Dug Well,SGWD,AJMERWL_54,26.4471,74.6621,26.3,Schist,4.09,3.1,5.15,3.02,4.0,3.15,4.5,3.4,5.3,2.4,3.5,3.7,2.5,2.3,4.6,2.4
3778,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,,Khanpura,Khanpura,Dug Well,SGWD,AJMERWL_006,26.4051,74.6363,22.4,Schist,5.66,4.1,10.0,2.9,3.14,3.85,8.6,3.1,7.2,6.65,9.8,3.7,6.7,5.0,5.9,4.8
3779,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,,Nosar,Nosar,Dug Well,SGWD,AJMERWL_339,26.4809,74.6099,18.2,Gneisses,2.67,2.6,10.2,1.75,8.1,7.9,11.1,5.3,15.0,2.3,6.4,2.9,6.9,2.8,9.1,1.9
3780,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Ajaysar_33826,Ajaysar,Ajaysar,Dug Well,SGWD,AJMERWL_362,26.4254,74.5692,10.45,Schist,4.94,2.8,6.05,3.15,7.0,5.7,5.9,6.1,8.1,2.9,4.0,4.4,6.3,5.6,6.1,2.0
3781,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Ajaysar_33826,Ajaysar,Ajaysar,Piezometer,SGWD,AJMERWL_315,26.4225,74.5674,60.0,Schist,5.89,3.7,7.25,3.0,6.6,4.2,6.5,5.0,10.5,2.7,5.5,3.5,5.8,2.7,5.9,1.1
3782,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Aradka_33827,Aradka,Aradka,Dug Well,SGWD,AJMERWL_363,26.635,74.7222,34.0,Gneisses,32.1,31.45,32.2,19.5,33.4,21.9,32.1,25.3,33.3,15.3,30.1,22.65,32.0,24.7,31.1,22.1
3783,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Aradka_33827,Aradka,Aradka,Piezometer,SGWD,AJMERWL_333,26.6303,74.723,50.0,Gneisses,21.1,19.4,22.0,15.0,23.5,18.1,23.9,22.4,24.9,13.3,25.5,19.7,21.2,13.6,21.4,13.2
3785,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Babayacha_33828,Babayacha,Babayacha,Dug Well,SGWD,AJMERWL_317,26.6144,74.7336,35.0,Schist,29.55,26.5,33.5,27.1,30.3,29.7,30.15,25.3,30.5,17.1,31.6,20.1,22.0,20.1,21.1,20.6
3787,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Barliya_33829,Badlya,Badlya,Dug Well,SGWD,AJMERWL_318,26.4466,74.7197,30.0,Schist,17.25,11.95,19.75,12.8,22.1,22.35,16.5,20.5,23.8,14.5,26.27,19.3,24.8,19.7,25.1,16.3
3788,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Beer_33830,Beer,Beer,Dug Well,SGWD,AJMERWL_342,26.3904,74.7366,30.0,Gneisses,25.53,16.0,25.75,21.25,25.6,26.75,25.7,28.0,26.05,7.85,25.3,17.9,28.7,14.5,21.0,11.3
3789,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Bhanwta_33783,Bhanwta,Bhanwta,Dug Well,SGWD,AJMERWL_225,26.3709,74.5101,30.8,Alluvium,3.8,4.4,8.0,6.45,9.0,6.35,7.5,6.9,15.35,6.3,12.1,6.45,3.1,2.2,4.0,3.3
3791,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Bhoodol_33831,Bhoodol,Bhoodol,Dug Well,SGWD,AJMERWL_319,26.4889,74.7562,29.0,Schist,25.83,24.7,25.6,25.2,26.65,27.75,26.35,21.0,28.1,18.3,23.1,16.05,27.8,16.4,26.5,24.8
3793,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Chachiyawas_33833,Chachiyawas,Chachiyawas,Piezometer,SGWD,AJMERWL_52,26.5691,74.676,50.0,Gneisses,24.2,22.6,33.8,21.1,32.2,16.75,26.5,35.9,42.25,5.55,20.6,23.35,28.0,24.8,35.3,20.8
3794,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Danta_33834,Jatiya,,Piezometer,SGWD,AJMERWL_055,26.3417,74.7237,60.0,Gneisses ,25.4,11.6,34.65,19.85,33.65,22.55,34.55,25.5,32.3,24.2,30.0,21.0,27.0,16.3,19.4,7.75
3795,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Gagwana_33837,Gagwana,Gagwana,Dug Well,SGWD,AJMERWL_322,26.5307,74.7272,28.65,Schist,19.13,17.15,23.8,20.9,26.1,20.7,22.2,20.0,24.7,15.3,19.0,16.3,21.4,19.5,20.9,13.9
3798,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Ganahera_33796,Pushkar (Rural),Pushkar (Rural),Piezometer,SGWD,AJMERWL_236,26.4876,74.5428,50.0,Alluvium,29.36,29.1,29.2,30.05,29.95,30.2,30.1,30.3,34.9,33.5,33.2,29.2,29.3,28.4,33.0,28.1
3799,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Gegal_33838,Gegal,,Piezometer,SGWD,AJMERWL_323,26.5542,74.7667,84.0,Schist,18.67,18.1,20.8,20.1,25.9,24.23,19.65,27.2,32.7,26.9,32.8,21.8,24.7,24.3,26.5,23.5
3801,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Hathi Khera_33841,Boraj Kazipura,Boraj Kazipura,Dug Well,SGWD,AJMERWL_326,26.44,74.5841,18.0,Schist,14.3,13.3,11.75,10.3,12.1,14.7,13.5,15.0,16.4,4.1,5.8,10.0,12.4,4.6,14.3,4.6
3802,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Kayampura_33844,Kayampura,Kayampura,Dug Well,SGWD,AJMERWL_334,26.5921,74.7248,29.0,Gneisses,19.25,18.4,21.0,20.1,21.3,20.0,21.15,23.1,24.25,10.1,23.5,16.3,21.9,10.4,28.1,22.7
3805,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Makarwali_33847,Lohagal,Lohagal,Dug Well,SGWD,AJMERWL_335,26.5107,74.65,24.3,Gneisses,15.5,22.3,21.35,19.95,20.75,20.0,21.1,21.9,18.6,6.45,19.9,11.3,8.9,7.8,14.4,5.1
3809,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Nand_33813,Leswa,,Piezometer,SGWD,AJMERWL_007,26.4698,74.4158,100.0,Alluvium,20.13,39.6,51.0,47.2,56.0,50.2,57.5,48.6,60.1,36.15,42.0,39.0,37.0,36.9,31.8,37.3
3811,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Narwar_33850,Narwar,Narwar,Dug Well,SGWD,AJMERWL_338,26.606,74.7053,30.0,Gneisses,19.82,19.45,23.4,17.2,21.2,19.1,23.5,21.4,27.7,14.05,17.8,16.2,18.3,14.1,20.3,13.7
3812,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Ramner Dhani_33854,Ramner Dhani,Ramner Dhani,Dug Well,SGWD,AJMERWL_330,26.6197,74.8107,28.0,Schist,25.7,17.9,26.3,18.6,22.9,21.14,24.6,20.2,24.3,16.8,18.2,19.4,27.2,26.9,33.1,29.1
3813,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Rasoolpura_33856,Madarpura,Madarpura,Dug Well,SGWD,AJMERWL_366,26.4674,74.682,39.5,Schist,26.05,23.8,25.65,20.95,26.5,24.1,27.4,27.0,29.1,16.45,23.7,18.2,31.9,17.0,33.8,11.1
3814,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Rasoolpura_33856,Madarpura,Madarpura,Piezometer,SGWD,AJMERWL_327,26.4542,74.6748,60.0,Schist,8.55,7.25,9.45,7.85,10.85,9.0,13.5,10.6,13.9,7.65,9.6,9.05,10.15,8.4,10.8,5.75
3815,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Saradhana_33822,Saradhana,Saradhana,Dug Well,SGWD,AJMERWL_258,26.3369,74.565,37.5,Schist,23.86,20.6,35.4,24.4,36.62,28.07,37.0,26.7,27.85,24.1,22.75,26.15,35.9,23.5,35.1,17.3
3817,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Sedariya_33859,Parbatpura,Parbatpura,Dug Well,SGWD,AJMERWL_329,26.4076,74.6579,18.7,Schist,7.1,4.7,12.2,5.25,10.2,4.04,16.8,5.4,13.15,8.1,8.7,7.6,10.5,3.45,9.6,2.8
3818,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Sedariya_33859,Parbatpura,Parbatpura,Piezometer,SGWD,AJMERWL_328,26.4109,74.6614,40.0,Schist,18.57,9.1,19.9,14.0,19.0,14.08,21.35,14.5,21.5,13.1,17.4,14.4,17.15,9.2,18.1,5.8
3819,Rajasthan_8,Ajmer_86,Ajmer Rural_7382,Tabeeji_33824,Tabeeji (Rural),Tabeeji,Dug Well,SGWD,AJMERWL_259,26.3632,74.6075,29.3,Schist,12.2,4.8,6.8,3.6,5.7,4.54,9.65,5.1,9.5,3.63,4.6,5.0,5.9,4.2,5.55,1.3
3823,Rajasthan_8,Ajmer_86,Pisangan_572,Bhagwanpura_33782,Bhagwanpura,Bhagwanpura,Piezometer,SGWD,AJMERWL_001,26.4462,74.465,100.0,Alluvium,28.2,27.9,29.75,28.4,31.55,30.25,32.15,30.4,33.2,24.45,28.2,27.45,28.2,27.1,30.1,26.9
3827,Rajasthan_8,Ajmer_86,Pisangan_572,Bhatsoori_33785,Nad,Nad,Dug Well,SGWD,AJMERWL_255,26.3562,74.3811,19.0,Schist,12.1,16.7,17.9,8.65,10.5,12.0,12.6,12.4,13.65,6.7,10.8,5.7,8.7,5.3,10.15,6.9
3829,Rajasthan_8,Ajmer_86,Pisangan_572,Gola_33797,Gola,Gola,Dug Well,SGWD,AJMERWL_244,26.2319,74.394,33.5,Schist,23.27,22.2,26.5,15.65,29.5,21.75,25.35,24.4,26.1,15.2,25.2,16.3,26.8,18.0,26.7,12.0
3830,Rajasthan_8,Ajmer_86,Pisangan_572,Govindgarh_33798,Govindgarh,Govindgarh,Dug Well,SGWD,AJMERWL_246,26.4552,74.3878,85.0,Schist,13.7,16.5,18.4,16.6,18.0,17.2,15.5,14.9,19.2,16.4,15.8,14.3,16.1,15.0,16.6,14.3
3832,Rajasthan_8,Ajmer_86,Pisangan_572,Jethana_33800,Jethana,Jethana,Dug Well,SGWD,AJMERWL_249,26.2849,74.4654,25.0,Schist,22.65,22.0,24.1,18.6,20.0,19.9,23.55,22.9,23.5,13.3,20.2,14.35,22.5,16.2,23.9,12.4
3834,Rajasthan_8,Ajmer_86,Pisangan_572,Kalesara_33803,Sarsari,Sarsari,Dug Well,SGWD,AJMERWL_012,26.3247,74.4301,60.0,Schist,17.35,18.8,19.1,15.2,14.3,17.5,16.5,14.3,19.2,5.5,14.8,12.6,17.4,10.1,17.8,16.6
3835,Rajasthan_8,Ajmer_86,Pisangan_572,Karnos_33804,Karnos,Karnos,Dug Well,SGWD,AJMERWL_250,26.2841,74.2844,28.5,Schist,16.4,16.5,16.9,15.85,16.75,16.5,17.25,16.6,17.4,6.84,13.9,8.1,17.2,17.0,17.6,14.5
3836,Rajasthan_8,Ajmer_86,Pisangan_572,Karnos_33804,Karnos,Karnos,Piezometer,SGWD,AJMERWL_005,26.2898,74.2885,95.0,Schist,22.44,26.25,33.35,23.75,34.95,31.95,37.15,33.8,24.4,10.9,19.5,13.3,21.2,21.0,26.8,29.5
3839,Rajasthan_8,Ajmer_86,Pisangan_572,Lamana_33807,Lamana,Lamana,Dug Well,SGWD,AJMERWL_252,26.2372,74.4695,25.0,Schist,16.33,15.35,19.15,14.05,17.85,14.15,18.65,19.1,19.0,13.55,16.6,14.1,19.1,16.4,19.8,14.8
3841,Rajasthan_8,Ajmer_86,Pisangan_572,Mangaliyawas_33810,Mangaliyawas,Mangaliyawas,Dug Well,SGWD,AJMERWL_254,26.2747,74.5112,22.1,Schist,14.85,13.7,16.3,10.45,13.25,10.9,18.9,16.1,15.8,4.25,12.25,10.1,15.8,4.25,14.7,8.9
3843,Rajasthan_8,Ajmer_86,Pisangan_572,Mangaliyawas_33810,Mangaliyawas,Mangaliyawas,Piezometer,SGWD,AJMERWL_253,26.2769,74.508,22.1,Schist,20.65,18.8,25.0,15.95,21.2,12.8,22.2,16.8,24.3,11.35,14.4,13.4,18.9,5.3,20.2,10.5
3844,Rajasthan_8,Ajmer_86,Pisangan_572,Nagelao_33812,Nagelao,Nagelao,Dug Well,SGWD,AJMERWL_008,26.2853,74.3944,85.0,Schist,24.15,20.1,29.2,20.0,24.6,21.5,28.2,21.9,22.4,11.1,21.9,15.3,24.0,11.5,21.8,11.6
3846,Rajasthan_8,Ajmer_86,Pisangan_572,Pagara_33816,Reechhmaliya,Reechhmaliya,Dug Well,SGWD,AJMERWL_257,26.4154,74.3122,86.0,Schist,11.7,7.8,17.2,7.8,12.6,10.1,13.4,10.4,12.65,8.9,11.9,7.25,11.2,8.2,12.5,2.6
3847,Rajasthan_8,Ajmer_86,Pisangan_572,Peesangan_33817,Peesangan,Peesangan,Dug Well,SGWD,AJMERWL_011,26.4011,74.3813,85.0,Schist,18.6,20.1,23.1,11.6,19.75,16.2,22.1,16.4,22.6,12.3,6.3,4.7,6.6,4.4,6.9,4.4
3848,Rajasthan_8,Ajmer_86,Pisangan_572,Peesangan_33817,Peesangan,Peesangan,Piezometer,SGWD,AJMERWL_080,26.399,74.3742,25.0,Schist,18.26,18.9,22.8,12.74,20.06,17.78,21.2,16.8,22.15,5.6,12.2,7.55,11.9,5.86,14.1,5.1
3851,Rajasthan_8,Ajmer_86,Srinagar_573,Bhatiyani_33784,Jharwasa,Jharwasa,Dug Well,SGWD,AJMERWL_263,26.2395,74.7199,22.4,Gneisses,13.8,15.5,19.2,13.57,20.07,15.1,16.35,16.0,16.2,2.57,6.7,4.1,5.6,4.5,15.1,7.8
3853,Rajasthan_8,Ajmer_86,Srinagar_573,Dhal_33835,Dhal,Dhal,Dug Well,SGWD,AJMERWL_343,26.3267,74.7967,17.3,Quartzite,12.02,6.25,14.8,8.05,14.3,9.2,12.1,17.2,16.1,5.1,9.8,6.65,16.9,5.5,15.5,9.65
3854,Rajasthan_8,Ajmer_86,Srinagar_573,Dilwara_33836,Dilwari,Dilwari,Dug Well,SGWD,AJMERWL_053,26.3379,74.7465,20.1,Gneisses,8.15,3.5,10.8,6.71,11.85,5.35,9.55,10.0,14.5,4.1,10.3,7.8,10.8,3.6,11.2,6.8
3856,Rajasthan_8,Ajmer_86,Srinagar_573,Kanpura_33843,Kanpura,Kanpura,Dug Well,SGWD,AJMERWL_344,26.3934,74.8501,12.15,Gneisses,3.87,2.05,3.45,1.3,3.85,2.75,6.5,4.1,7.1,3.9,3.4,3.7,3.75,3.1,4.1,3.6
3858,Rajasthan_8,Ajmer_86,Srinagar_573,Loharwara_33846,Loharwara,Loharwara,Dug Well,SGWD,AJMERWL_346,26.2567,74.789,22.0,Gneisses,14.6,7.4,17.8,3.8,11.1,4.8,16.9,11.9,21.6,2.2,8.05,3.7,13.75,5.1,15.4,8.0
3859,Rajasthan_8,Ajmer_86,Srinagar_573,Ramsar_33855,Ramsar,Ramsar,Dug Well,SGWD,AJMERWL_056,26.2839,74.8862,11.35,Gneisses,3.54,2.8,4.55,1.82,2.95,2.75,4.8,3.5,4.85,1.35,2.7,1.8,3.0,1.6,3.6,1.2
3860,Rajasthan_8,Ajmer_86,Srinagar_573,Ramsar_33855,Ramsar,Ramsar2,Dug Well,CGWB,W261600074513001,26.28,74.8757,14.1,Gneisses,7.28,5.12,7.15,5.72,6.65,3.08,7.9,6.0,8.7,2.3,3.8,2.5,6.5,3.0,5.9,2.6
3862,Rajasthan_8,Ajmer_86,Srinagar_573,Samproda_33857,Morajhari,Morajhari,Dug Well,SGWD,AJMERWL_348,26.3118,74.927,22.5,Gneisses,14.9,9.5,21.55,8.5,8.75,7.1,15.1,18.7,17.1,12.0,16.8,9.35,8.4,8.4,10.4,7.3
3863,Rajasthan_8,Ajmer_86,Srinagar_573,Samproda_33857,Samproda,Samproda,Piezometer,SGWD,AJMERWL_350,26.3272,74.9652,100.0,Gneisses,13.1,4.2,13.3,2.53,10.5,9.85,16.55,6.5,18.1,1.9,11.1,5.2,15.6,5.0,13.1,12.0
3866,Rajasthan_8,Ajmer_86,Srinagar_573,Sanod_33858,Sanod,Sanod,Dug Well,SGWD,AJMERWL_351,26.2859,74.8261,22.95,Gneisses,14.12,7.4,16.4,4.65,10.1,8.4,13.1,8.9,12.95,5.3,22.5,8.05,20.5,4.6,20.1,15.0
3867,Rajasthan_8,Ajmer_86,Srinagar_573,Srinagar_33860,Srinagar,Srinagar,Dug Well,SGWD,AJMERWL_353,26.4292,74.7873,23.0,Gneisses,16.75,11.5,20.0,11.5,19.9,14.0,21.1,14.9,22.2,18.1,21.15,15.7,21.7,12.2,21.1,13.1
3868,Rajasthan_8,Ajmer_86,Srinagar_573,Tihari_33861,Tihari,Tihari,Dug Well,SGWD,AJMERWL_354,26.3945,74.8899,25.1,Gneisses,14.75,5.1,12.7,4.9,11.0,7.55,18.1,7.5,19.1,4.95,23.05,11.2,23.2,13.9,17.2,12.6
3869,Rajasthan_8,Ajmer_86,Srinagar_573,Tilana_33862,Kurari,Kurari,Dug Well,SGWD,AJMERWL_345,26.3317,74.8736,13.8,Gneisses,10.5,2.2,9.2,8.73,9.1,8.45,11.15,9.3,12.1,5.2,10.3,9.7,7.8,4.4,6.5,3.6
3870,Rajasthan_8,Ajmer_86,Srinagar_573,Tilana_33862,Nawab,Nawab,Dug Well,SGWD,AJMERWL_349,26.3649,74.9178,16.8,Gneisses,10.2,8.5,9.7,8.5,10.9,9.1,10.3,11.6,11.8,10.05,10.8,10.3,14.1,6.7,10.1,7.2
3872,Rajasthan_8,Ajmer_86,Srinagar_573,,Nasirabad,Nasirabad,Dug Well,CGWB,W261712074442501,26.2868,74.7404,20.87,Gneisses,1.82,1.22,1.5,0.62,0.5,2.7,2.3,1.85,5.7,4.1,4.55,2.3,3.2,1.4,5.6,3.35
3873,Rajasthan_8,Ajmer_86,Srinagar_573,,Nasirabad (Cb),Nasirabad (Cb),Dug Well,SGWD,AJMERWL_009,26.2899,74.7347,18.15,Gneisses,7.9,5.1,9.0,1.1,4.8,6.4,8.1,2.6,10.2,4.05,17.1,13.3,10.0,1.6,9.5,1.75
3874,Rajasthan_8,Ajmer_86,Srinagar_573,,Nasirabad (Cb),Nasirabad (Cb),Piezometer,SGWD,AJMERWL_010,26.2959,74.7179,50.0,Gneisses,5.4,4.7,6.7,3.8,6.3,4.5,6.1,5.6,6.45,3.3,5.35,4.8,5.6,3.9,5.2,3.2
